time,X_value,Y_value,Z_value
13.895,-0.52212,-0.28819,9.78850
13.932,-0.52209,-0.28780,9.78851
13.972,-0.52206,-0.28744,9.78852
14.012,-0.52225,-0.28747,9.78851
14.051,-0.52242,-0.28752,9.78850
14.093,-0.52336,-0.28723,9.78846
14.135,-0.52334,-0.28683,9.78848
14.174,-0.52296,-0.28686,9.78849
14.212,-0.52294,-0.28740,9.78848
14.252,-0.52291,-0.28752,9.78848
14.295,-0.52253,-0.28809,9.78848
14.333,-0.52169,-0.28771,9.78854
14.372,-0.52095,-0.28775,9.78858
14.413,-0.52094,-0.28722,9.78859
14.452,-0.52095,-0.28672,9.78861
14.492,-0.52132,-0.28787,9.78855
14.534,-0.52105,-0.28719,9.78859
14.573,-0.52081,-0.28660,9.78862
14.613,-0.52050,-0.28630,9.78864
14.654,-0.52024,-0.28601,9.78866
14.697,-0.52035,-0.28672,9.78864
14.733,-0.52143,-0.28720,9.78856
14.774,-0.52204,-0.28724,9.78853
14.814,-0.52197,-0.28699,9.78854
14.853,-0.52228,-0.28675,9.78853
14.894,-0.52228,-0.28685,9.78853
14.934,-0.52134,-0.28698,9.78858
14.974,-0.52052,-0.28671,9.78863
15.013,-0.52140,-0.28722,9.78857
15.054,-0.52218,-0.28730,9.78852
15.095,-0.52152,-0.28774,9.78854
15.134,-0.52042,-0.28745,9.78861
15.174,-0.51945,-0.28719,9.78867
15.213,-0.52030,-0.28733,9.78862
15.254,-0.52105,-0.28783,9.78857
15.294,-0.52068,-0.28755,9.78860
15.336,-0.52042,-0.28838,9.78858
15.375,-0.52019,-0.28914,9.78857
15.415,-0.52065,-0.28896,9.78856
15.454,-0.52106,-0.28918,9.78853
15.496,-0.52092,-0.28945,9.78853
15.534,-0.52079,-0.29006,9.78852
15.575,-0.52119,-0.29012,9.78849
15.615,-0.52084,-0.29010,9.78851
15.655,-0.52016,-0.28970,9.78856
15.695,-0.52009,-0.28935,9.78857
15.734,-0.52004,-0.28941,9.78858
15.775,-0.51941,-0.28868,9.78863
15.815,-0.51873,-0.28756,9.78870
15.855,-0.51847,-0.28658,9.78874
15.898,-0.51849,-0.28659,9.78874
15.935,-0.51816,-0.28657,9.78876
15.975,-0.51803,-0.28672,9.78876
16.015,-0.51835,-0.28633,9.78876
16.055,-0.51827,-0.28598,9.78877
16.096,-0.51862,-0.28559,9.78876
16.135,-0.51892,-0.28563,9.78874
16.176,-0.51860,-0.28553,9.78876
16.216,-0.51817,-0.28557,9.78879
16.257,-0.51778,-0.28560,9.78881
16.296,-0.51774,-0.28609,9.78879
16.337,-0.51772,-0.28616,9.78879
16.376,-0.51829,-0.28601,9.78877
16.416,-0.51867,-0.28608,9.78874
16.457,-0.51938,-0.28649,9.78870
16.496,-0.52029,-0.28615,9.78866
16.536,-0.52109,-0.28547,9.78863
16.576,-0.52060,-0.28538,9.78866
16.617,-0.52059,-0.28583,9.78865
16.656,-0.52059,-0.28661,9.78863
16.697,-0.52066,-0.28670,9.78862
16.736,-0.52110,-0.28677,9.78860
16.776,-0.52077,-0.28677,9.78861
16.816,-0.52040,-0.28710,9.78862
16.856,-0.52006,-0.28742,9.78863
16.896,-0.51911,-0.28780,9.78867
16.939,-0.51827,-0.28815,9.78871
16.977,-0.51879,-0.28792,9.78868
17.019,-0.51870,-0.28762,9.78870
17.057,-0.51826,-0.28733,9.78873
17.097,-0.51792,-0.28752,9.78874
17.137,-0.51762,-0.28731,9.78876
17.178,-0.51816,-0.28752,9.78873
17.218,-0.51817,-0.28756,9.78873
17.258,-0.51854,-0.28760,9.78871
17.298,-0.51850,-0.28839,9.78869
17.341,-0.51883,-0.28872,9.78866
17.378,-0.51944,-0.28745,9.78866
17.421,-0.51930,-0.28794,9.78866
17.458,-0.51918,-0.28837,9.78865
17.498,-0.51929,-0.28803,9.78865
17.539,-0.51903,-0.28772,9.78868
17.578,-0.51968,-0.28731,9.78866
17.619,-0.52027,-0.28810,9.78860
17.658,-0.52080,-0.28879,9.78855
17.699,-0.52091,-0.28919,9.78854
17.738,-0.52101,-0.28992,9.78851
17.779,-0.52113,-0.29004,9.78850
17.819,-0.52147,-0.28912,9.78851
17.859,-0.52141,-0.28828,9.78853
17.900,-0.52144,-0.28752,9.78856
17.940,-0.52146,-0.28685,9.78857
17.979,-0.52078,-0.28718,9.78860
18.019,-0.51980,-0.28748,9.78864
18.059,-0.52068,-0.28705,9.78861
18.099,-0.52051,-0.28602,9.78865
18.141,-0.52036,-0.28546,9.78867
18.179,-0.52063,-0.28640,9.78863
18.219,-0.52088,-0.28686,9.78861
18.260,-0.52085,-0.28774,9.78858
18.300,-0.52103,-0.28686,9.78860
18.340,-0.52117,-0.28574,9.78862
18.380,-0.52131,-0.28600,9.78861
18.419,-0.52106,-0.28586,9.78862
18.459,-0.52180,-0.28711,9.78855
18.499,-0.52145,-0.28742,9.78856
18.540,-0.52077,-0.28771,9.78859
18.581,-0.52077,-0.28800,9.78858
18.621,-0.52075,-0.28828,9.78857
18.660,-0.52075,-0.28853,9.78856
18.700,-0.52131,-0.28859,9.78853
18.740,-0.52143,-0.28904,9.78851
18.780,-0.52177,-0.28913,9.78849
18.821,-0.52208,-0.28922,9.78847
18.860,-0.52235,-0.28899,9.78846
18.900,-0.52319,-0.28972,9.78840
18.943,-0.52358,-0.28998,9.78837
18.982,-0.52332,-0.28942,9.78840
19.021,-0.52308,-0.28891,9.78843
19.062,-0.52189,-0.28868,9.78850
19.101,-0.51990,-0.28814,9.78862
19.141,-0.51850,-0.28766,9.78871
19.181,-0.51930,-0.28833,9.78864
19.221,-0.51965,-0.28891,9.78861
19.260,-0.51938,-0.28942,9.78861
19.301,-0.51950,-0.29024,9.78858
19.341,-0.51924,-0.29097,9.78857
19.381,-0.51859,-0.29153,9.78859
19.424,-0.51839,-0.29163,9.78860
19.463,-0.51843,-0.29142,9.78860
19.505,-0.51883,-0.29066,9.78860
19.542,-0.51918,-0.28999,9.78860
19.583,-0.52004,-0.29025,9.78855
19.622,-0.52080,-0.29048,9.78850
19.662,-0.52067,-0.28988,9.78853
19.703,-0.52031,-0.29009,9.78854
19.746,-0.52034,-0.29029,9.78853
19.782,-0.52099,-0.29052,9.78849
19.825,-0.52121,-0.29108,9.78846
19.862,-0.52080,-0.29068,9.78850
