time,X_value,Y_value,Z_value
21.039,23.86780,4.94690,11.74164
21.106,23.88153,5.55573,11.16180
21.173,24.39880,5.23529,12.03918
21.240,24.44916,6.70166,13.24615
21.307,23.87695,5.24445,11.74774
21.374,24.04327,5.26123,10.85968
21.441,23.88916,5.85327,11.16791
21.509,24.06006,5.85785,10.87189
21.576,23.88153,4.91028,13.51166
21.643,23.15216,4.98810,9.97467
21.710,24.19739,4.34723,11.72791
21.777,23.70911,5.55115,11.45782
21.844,22.98737,4.93622,12.63275
21.912,23.17352,5.25055,11.75079
21.979,24.25232,6.44684,11.17706
22.046,23.87695,5.24445,11.74774
22.113,24.06006,5.53589,12.04681
22.180,23.88916,5.85327,11.16791
22.247,23.86017,4.32739,12.91199
22.315,25.11902,5.50385,13.22174
22.382,23.18573,5.53741,12.34589
22.449,23.52753,5.54657,11.75385
22.516,23.88916,5.85327,11.16791
22.583,23.35663,5.54199,12.04987
22.650,23.70148,4.93011,12.62817
22.717,23.72131,5.83649,12.05444
22.785,24.03564,4.64172,12.03003
22.851,23.18573,5.53741,12.34589
22.918,23.70911,5.55115,11.45782
22.986,23.70911,5.22919,12.63275
23.053,24.06921,5.83344,12.05292
23.120,23.89832,5.50842,13.52386
23.189,23.68011,4.66766,10.85205
23.254,23.17352,5.25055,11.75079
23.321,23.35663,5.54199,12.04987
23.389,23.71368,5.53894,12.04834
23.456,23.16437,4.63104,12.92114
23.524,23.72131,5.83649,12.05444
23.590,23.53210,5.53436,12.34436
23.657,23.71826,5.84869,11.46393
23.724,23.33221,4.96826,10.85968
23.792,24.42932,6.11725,12.64496
23.859,23.51074,4.94995,11.74316
23.926,24.05701,5.54810,11.45630
23.993,23.19031,5.52521,12.93793
24.060,23.89832,6.15234,11.17249
24.127,24.06921,5.51147,13.22784
24.195,24.05243,5.23834,12.04071
24.262,23.87695,5.24445,11.74774
24.328,23.89374,5.84259,11.75690
24.396,24.77417,6.11420,12.64343
24.462,24.20349,4.65851,11.14349
24.529,23.71368,5.86090,10.87341
24.597,23.53210,5.53436,12.34436
24.665,24.05701,5.22614,12.63123
24.731,23.16895,4.94080,12.33673
24.799,23.88458,5.54352,11.75232
24.866,23.88916,5.85327,11.16791
24.935,23.88458,5.54352,11.75232
25.000,23.33221,4.96826,10.85968
25.067,23.52448,5.55725,11.16486
25.134,23.88916,5.53131,12.34283
25.268,23.87695,5.24445,11.74774
25.335,23.72742,5.82428,12.64496
25.403,24.07227,6.14471,11.46698
25.470,24.06006,5.53589,12.04681
25.537,23.15979,4.96521,11.15570
25.604,23.87695,5.56793,10.57129
25.672,24.04327,5.26123,10.85968
25.738,24.42017,5.81970,12.64038
25.806,24.05243,5.56030,10.86578
25.873,23.88153,5.55573,11.16180
25.940,23.51532,4.93774,12.33368
26.007,24.42017,5.81970,12.64038
26.075,24.06006,5.53589,12.04681
26.141,24.77417,6.11420,12.64343
26.209,24.08600,6.10809,13.23853
26.275,23.53210,5.53436,12.34436
26.343,23.89832,6.15234,11.17249
26.410,23.36121,5.20782,13.81683
26.477,24.24011,5.83954,11.75537
26.544,23.52448,5.55725,11.16486
26.612,23.53668,6.16760,10.58502
26.679,24.42017,5.81970,12.64038
26.746,24.06921,5.83344,12.05292
26.813,23.16895,4.94080,12.33673
26.880,24.41254,5.52216,12.63428
26.947,23.34900,5.24445,12.04529
27.014,24.43237,6.10657,13.23700
27.081,24.07837,5.48859,14.40887
27.149,24.77417,6.11420,12.64343
27.215,23.67554,4.35791,11.43646
27.283,23.68927,4.64325,12.03308
27.350,24.23553,5.20630,13.51624
27.416,24.60327,6.43311,11.76453
27.484,23.33527,4.95758,11.44867
27.551,23.34900,5.24445,12.04529
27.618,23.34442,5.25513,11.45477
27.685,23.16895,5.26276,11.16028
27.755,23.88458,5.54352,11.75232
27.819,24.95270,5.81055,12.93182
27.887,23.71368,5.53894,12.04834
27.954,24.41559,5.50995,13.22479
28.022,23.88153,5.55573,11.16180
28.089,22.98279,4.94843,12.04224
28.156,23.52753,5.54657,11.75385
28.222,23.34900,5.56641,10.86884
28.290,24.07227,5.82123,12.64191
28.357,24.41254,5.52216,12.63428
28.424,23.67249,4.04816,12.02087
28.491,23.16895,5.26276,11.16028
28.558,24.04785,5.25055,11.45020
28.625,24.05701,5.54810,11.45630
28.692,24.57886,5.53741,11.74774
28.760,23.52753,5.86853,10.57892
28.827,23.15979,4.96521,11.15570
28.894,24.05701,5.54810,11.45630
28.961,24.07227,6.14471,11.46698
29.028,24.06921,5.83344,12.05292
29.096,24.07227,5.82123,12.64191
29.163,23.89374,5.84259,11.75690
29.230,24.25690,6.11267,12.94098
29.297,24.06921,5.83344,12.05292
29.364,23.17657,5.56030,11.16638
29.431,23.72131,5.83649,12.05444
29.498,23.34442,5.25513,11.45477
29.566,23.89374,5.84259,11.75690
29.633,23.53210,5.53436,12.34436
29.701,24.07227,6.14471,11.46698
29.766,24.22333,5.24292,11.74469
29.834,24.42017,5.81970,12.64038
29.901,24.04785,5.25055,11.45020
29.968,23.50616,4.64020,12.32910
30.035,24.03564,4.64172,12.03003
30.103,23.34442,4.93317,12.62970
30.170,23.88153,5.55573,11.16180
30.238,23.33221,4.64630,12.03461
30.304,24.21417,4.94385,11.73859
30.371,23.51074,4.94995,11.74316
30.438,23.68011,4.66766,10.85205
30.504,23.15216,4.66614,11.14960
30.573,23.14758,4.67834,10.55908
30.640,22.79816,4.98047,10.56671
30.707,23.19031,5.84717,11.76147
30.774,24.21112,4.95605,11.14960
30.841,23.32764,4.65851,11.44409
30.908,24.05701,5.54810,11.45630
30.976,23.33221,4.64630,12.03461
31.042,23.31543,4.05121,12.02393
31.109,23.71368,5.53894,12.04834
31.177,23.34442,5.25513,11.45477
31.244,24.21112,4.95605,11.14960
31.311,23.35205,5.55420,11.46088
31.378,24.05701,5.54810,11.45630
31.446,24.25690,6.11267,12.94098
31.512,23.71368,5.53894,12.04834
31.580,23.50616,4.64020,12.32910
31.646,23.72131,5.83649,12.05444
31.714,23.85559,4.66156,11.14502
31.781,24.07837,6.13251,12.05750
31.848,24.42932,6.11725,12.64496
31.915,22.99194,5.24597,12.04681
31.983,23.71368,5.21698,13.22479
32.050,24.76654,5.81665,12.63885
32.116,23.52448,5.55725,11.16486
32.184,23.88916,5.85327,11.16791
32.251,23.89374,5.84259,11.75690
32.318,24.05701,5.22614,12.63123
32.385,23.71826,5.84869,11.46393
32.452,23.71368,5.86090,10.87341
32.519,23.53210,5.53436,12.34436
32.587,24.39423,4.92554,12.62360
32.654,23.70148,4.93011,12.62817
32.720,23.85559,4.33960,12.32147
32.788,23.71826,5.84869,11.46393
32.855,24.08142,6.12030,12.64801
32.922,23.68011,4.34570,12.02698
32.990,23.86322,4.63715,12.32605
33.057,23.71368,5.53894,12.04834
33.124,24.41254,5.52216,12.63428
33.191,24.56970,5.23987,11.74164
33.258,24.05243,5.56030,10.86578
33.325,23.71826,5.84869,11.46393
33.392,23.68469,4.65546,11.44257
33.460,24.93591,5.21240,12.92114
33.526,24.40338,4.90112,13.80463
33.593,23.68927,4.64325,12.03308
33.661,23.54126,5.50995,13.52539
33.728,24.21875,5.25513,11.15417
33.795,23.70148,4.93011,12.62817
33.863,24.04022,4.95148,11.44562
33.929,23.89374,5.84259,11.75690
33.996,23.34900,5.24445,12.04529
34.064,24.06006,5.53589,12.04681
34.131,24.05701,5.54810,11.45630
34.197,24.05243,4.91638,13.21564
34.265,24.75433,5.53131,12.04224
34.332,23.16895,4.94080,12.33673
34.399,23.70605,5.24139,12.04376
34.467,23.69232,4.63257,12.62207
34.534,23.71826,5.84869,11.46393
34.600,24.05243,5.23834,12.04071
34.668,23.33221,4.64630,12.03461
34.735,24.24011,5.83954,11.75537
34.802,23.88458,5.86548,10.57739
34.869,23.15521,4.65546,11.74011
34.936,24.06921,5.83344,12.05292
35.003,23.34900,5.24445,12.04529
35.071,23.51074,4.94995,11.74316
35.138,24.24927,5.81512,12.93640
35.205,24.24011,5.83954,11.75537
35.272,23.70605,5.24139,12.04376
35.339,23.73810,6.75659,10.88867
35.407,24.59564,5.81207,12.93488
35.474,23.87695,5.24445,11.74774
35.542,23.71826,5.84869,11.46393
35.608,24.24469,5.50537,13.52081
35.676,24.06006,5.21393,13.22174
35.742,23.71826,5.84869,11.46393
35.810,24.06464,5.84564,11.46088
35.877,24.23248,5.54047,11.75079
35.943,23.15521,4.65546,11.74011
36.011,23.52753,5.54657,11.75385
36.079,24.03564,4.64172,12.03003
36.144,24.27368,6.38733,14.12811
36.212,23.90137,6.14014,11.76300
36.279,23.86780,4.94690,11.74164
36.347,24.21417,4.94385,11.73859
36.414,23.50616,4.64020,12.32910
36.480,24.07837,6.13251,12.05750
36.548,23.52753,5.54657,11.75385
36.615,23.72131,6.15845,10.87799
36.681,23.71826,5.84869,11.46393
36.749,23.51990,5.24750,11.74927
36.816,23.53210,5.53436,12.34436
36.885,24.07227,5.82123,12.64191
36.951,23.87238,5.25665,11.15570
37.017,24.07227,6.14471,11.46698
37.084,23.71368,5.53894,12.04834
37.152,24.56207,4.94232,11.73706
37.219,23.68927,4.96674,10.85663
37.286,24.06921,5.51147,13.22784
37.354,24.06006,5.53589,12.04681
37.420,23.70605,5.24139,12.04376
37.487,24.60327,5.78766,14.11591
37.555,23.72742,5.82428,12.64496
37.622,23.51074,4.94995,11.74316
37.689,23.88916,5.53131,12.34283
37.757,24.41559,5.50995,13.22479
37.823,23.68469,4.65546,11.44257
37.891,24.24927,6.13708,11.76147
37.958,23.15979,4.96521,11.15570
38.025,23.90137,5.81818,12.93793
38.092,23.70911,5.22919,12.63275
38.159,24.07227,5.82123,12.64191
38.226,23.34900,5.24445,12.04529
38.293,24.23248,5.54047,11.75079
38.360,23.19336,5.83496,12.35199
38.428,23.72131,5.83649,12.05444
38.495,24.05701,4.90417,13.80768
38.562,24.42017,6.46362,10.28900
38.629,24.06006,5.53589,12.04681
38.696,23.88458,5.54352,11.75232
38.764,23.18115,5.22614,12.93182
38.830,23.51532,4.93774,12.33368
38.965,24.21875,5.25513,11.15417
39.032,23.88458,5.54352,11.75232
39.099,23.90594,5.80597,13.52997
39.169,23.35663,5.54199,12.04987
39.233,23.89832,5.18494,14.69879
39.305,24.08142,6.12030,12.64801
39.367,23.33527,4.63409,12.62360
39.435,23.52448,5.55725,11.16486
39.502,24.04785,5.25055,11.45020
39.568,24.41559,5.83191,12.04987
39.636,24.06006,5.21393,13.22174
39.703,24.24927,5.81512,12.93640
39.770,23.90137,5.81818,12.93793
39.838,23.72742,5.82428,12.64496
39.905,24.07837,6.13251,12.05750
39.971,24.57886,5.53741,11.74774
40.039,24.07227,5.82123,12.64191
40.106,23.71368,5.21698,13.22479
40.173,23.88916,5.20935,13.51776
40.241,24.24469,5.50537,13.52081
40.308,24.26605,6.41022,12.94708
40.374,24.57886,5.21545,12.92267
40.442,24.39880,5.23529,12.03918
40.509,24.26605,6.41022,12.94708
40.576,24.42932,6.11725,12.64496
40.643,23.89832,5.50842,13.52386
40.778,22.80273,4.64478,12.33215
40.845,24.06006,5.53589,12.04681
40.912,23.15979,4.64325,12.33063
40.979,23.53210,5.53436,12.34436
41.046,24.05243,5.23834,12.04071
41.113,23.72131,5.83649,12.05444
41.180,23.35205,4.90875,13.81073
41.248,23.71368,5.21698,13.22479
41.315,23.72131,5.83649,12.05444
41.382,23.53210,5.53436,12.34436
41.517,24.06006,5.53589,12.04681
41.583,23.71826,5.84869,11.46393
41.650,24.41254,5.52216,12.63428
41.717,24.06464,5.20172,13.81226
41.784,23.89374,5.84259,11.75690
41.851,24.06921,5.51147,13.22784
41.918,23.53668,5.84412,11.75995
41.986,23.53210,5.53436,12.34436
42.053,23.88458,5.54352,11.75232
42.120,23.53668,5.84412,11.75995
42.255,23.89832,6.15234,11.17249
42.322,23.37036,5.50537,13.82141
42.389,24.59564,5.81207,12.93488
42.456,23.72742,5.82428,12.64496
42.523,23.51532,5.25970,11.15875
42.590,23.71826,5.84869,11.46393
42.657,24.06921,5.83344,12.05292
42.725,23.53668,5.84412,11.75995
42.792,23.73047,6.45752,10.88409
42.858,23.52753,5.54657,11.75385
42.926,23.88916,5.53131,12.34283
42.993,23.70911,5.55115,11.45782
43.060,23.71368,5.21698,13.22479
43.127,24.06921,5.51147,13.22784
43.194,23.70148,5.25360,11.45172
43.262,23.88153,5.55573,11.16180
43.329,24.06006,5.53589,12.04681
43.396,23.88916,5.53131,12.34283
43.463,23.54431,6.14319,11.76605
43.530,22.80731,4.63257,12.92267
43.597,23.34900,5.24445,12.04529
43.665,24.40338,5.86853,10.27832
43.731,23.72131,5.83649,12.05444
43.798,23.72131,5.51453,13.22937
43.866,23.70605,5.24139,12.04376
43.933,23.88916,5.85327,11.16791
44.001,23.72131,5.83649,12.05444
44.070,23.53668,5.84412,11.75995
44.134,24.26147,6.42242,12.35657
44.202,24.06921,5.83344,12.05292
44.269,23.50616,4.96216,11.15265
44.336,23.90137,5.81818,12.93793
44.403,22.80731,4.95605,11.74774
44.470,23.34442,5.25513,11.45477
44.538,23.72131,5.83649,12.05444
44.605,23.51532,4.93774,12.33368
44.672,24.08142,6.44226,11.47308
44.739,23.71368,5.53894,12.04834
44.806,22.81647,4.93164,12.92877
