time,X_value,Y_value,Z_value
15.821,23.87695,5.24445,11.74774
15.890,24.05701,4.90417,13.80768
15.956,24.57886,5.21545,12.92267
16.023,24.03107,4.65393,11.44104
16.090,24.57886,5.21545,12.92267
16.158,23.51990,4.92554,12.92419
16.225,24.06006,5.53589,12.04681
16.291,23.71368,5.21698,13.22479
16.359,23.87695,5.24445,11.74774
16.426,24.42932,6.11725,12.64496
16.492,24.40338,5.54657,11.45477
16.560,24.25690,5.79071,14.11743
16.628,24.40796,5.53436,12.04376
16.693,24.39423,4.92554,12.62360
16.761,23.35663,5.54199,12.04987
16.829,23.35205,5.55420,11.46088
16.895,24.05243,4.91638,13.21564
16.963,24.23553,5.20630,13.51624
17.030,24.40796,5.21088,13.21869
17.097,24.21112,4.63409,12.32452
17.164,24.24927,5.81512,12.93640
17.232,23.70911,5.22919,12.63275
17.298,24.39880,4.91333,13.21411
17.366,24.56512,4.93011,12.32758
17.433,24.06006,5.53589,12.04681
17.500,24.24927,5.81512,12.93640
17.567,23.34442,5.25513,11.45477
17.634,24.40796,5.53436,12.04376
17.701,23.71368,5.53894,12.04834
17.768,23.34442,4.93317,12.62970
17.836,24.24927,5.81512,12.93640
17.903,24.22791,4.90723,13.51013
17.970,24.21875,4.93164,12.32910
18.038,23.66791,3.73840,12.60681
18.105,24.06006,5.21393,13.22174
18.171,24.20654,4.32434,12.90894
18.238,24.24011,5.19409,14.10675
18.305,24.76349,5.50690,13.22327
18.373,24.39423,4.92554,12.62360
18.440,24.38660,4.94843,11.44409
18.507,24.41254,5.52216,12.63428
18.574,23.34900,5.24445,12.04529
18.641,23.87695,5.24445,11.74774
18.708,24.21875,4.60968,13.50555
18.776,23.87695,5.24445,11.74774
18.843,23.33527,4.63409,12.62360
18.910,24.59564,5.81207,12.93488
18.978,23.71368,5.53894,12.04834
19.045,24.06006,5.21393,13.22174
19.111,23.72131,5.83649,12.05444
19.180,23.72742,5.50232,13.81989
19.245,23.71826,5.84869,11.46393
19.313,23.89832,6.15234,11.17249
19.380,24.24927,5.81512,12.93640
19.447,24.62006,6.70624,12.95013
19.514,24.41254,5.84412,11.45935
19.580,24.41254,5.52216,12.63428
19.649,24.74976,4.89807,13.80310
19.716,24.06006,5.21393,13.22174
19.782,24.39880,5.23529,12.03918
19.850,24.75891,5.84106,11.45782
19.917,23.73047,6.45752,10.88409
19.983,24.21417,4.94385,11.73859
20.051,24.96490,6.41785,12.35199
20.119,24.23248,5.54047,11.75079
20.185,23.51074,4.62799,12.91962
20.253,24.60785,6.42090,12.35504
20.320,24.25232,5.80292,13.52692
20.387,24.94049,5.20020,13.51166
20.454,24.40796,5.21088,13.21869
20.522,24.41254,5.52216,12.63428
20.588,23.73047,5.81360,13.23395
20.656,24.24927,5.81512,12.93640
20.790,23.71826,5.84869,11.46393
20.857,23.91815,6.09131,14.12506
20.924,23.73505,6.12335,12.64954
20.991,24.05243,5.23834,12.04071
21.059,23.87695,5.24445,11.74774
21.126,23.15216,4.98810,9.97467
21.193,24.59106,5.50232,13.51929
21.260,24.07227,5.82123,12.64191
21.327,24.25690,6.11267,12.94098
21.394,24.39880,4.91333,13.21411
21.461,24.05243,5.23834,12.04071
21.528,24.25690,6.11267,12.94098
21.596,24.60022,6.12335,12.34894
21.663,24.22333,5.24292,11.74469
21.730,23.87695,5.24445,11.74774
21.797,24.42932,5.79529,13.82141
21.864,24.39423,4.92554,12.62360
21.931,24.04785,5.25055,11.45020
21.998,23.52753,5.54657,11.75385
22.066,23.73047,5.81360,13.23395
22.133,24.06921,5.51147,13.22784
22.200,23.89832,6.15234,11.17249
22.268,24.74976,4.89807,13.80310
22.334,24.97711,6.70319,12.94861
22.402,23.88458,5.86548,10.57739
22.469,24.24469,5.50537,13.52081
22.536,24.76654,5.81665,12.63885
22.603,24.05243,5.23834,12.04071
22.670,24.05701,5.22614,12.63123
22.737,23.89832,6.15234,11.17249
22.804,24.05701,5.54810,11.45630
22.870,24.62006,6.06232,15.30151
22.939,24.24927,6.13708,11.76147
23.005,24.79248,6.71234,12.65411
23.072,24.22333,5.24292,11.74469
23.140,25.12360,5.81360,12.63580
23.207,24.21417,4.94385,11.73859
23.274,24.21875,5.25513,11.15417
23.341,23.89374,5.84259,11.75690
23.408,25.14038,5.76630,14.99786
23.475,24.79248,6.71234,12.65411
23.542,24.23553,5.85022,11.16486
23.609,24.08905,6.09741,13.82904
23.677,24.41559,5.50995,13.22479
23.744,23.53210,6.17828,9.99451
23.812,23.70605,5.24139,12.04376
23.878,24.06464,5.84564,11.46088
23.946,24.25690,6.43463,11.76605
24.015,23.89832,5.50842,13.52386
24.080,24.40796,5.21088,13.21869
24.147,24.43237,5.78308,14.41193
24.214,24.57428,5.54962,11.15723
24.280,24.59106,5.50232,13.51929
24.348,24.58649,5.19257,14.10370
24.416,24.22791,5.55267,11.15875
24.482,24.76654,5.81665,12.63885
24.550,23.70148,4.93011,12.62817
24.617,24.94812,5.49927,13.51776
24.684,24.21112,4.63409,12.32452
24.752,24.40796,5.53436,12.04376
24.818,23.91815,6.09131,14.12506
24.885,24.98169,6.69250,13.53912
24.953,24.59564,5.81207,12.93488
25.020,24.40338,5.54657,11.45477
25.087,24.40796,5.53436,12.04376
25.156,24.57886,5.53741,11.74774
25.221,24.06464,5.84564,11.46088
25.289,23.88916,5.53131,12.34283
25.356,23.52753,5.54657,11.75385
25.422,24.40338,5.54657,11.45477
25.490,23.52753,4.90112,14.10522
25.557,23.88916,5.53131,12.34283
25.624,23.89374,5.84259,11.75690
25.691,24.25690,6.11267,12.94098
25.757,24.07227,5.82123,12.64191
25.826,23.70605,5.24139,12.04376
25.893,24.07227,5.82123,12.64191
25.959,24.06921,5.83344,12.05292
26.027,23.71368,5.53894,12.04834
26.094,24.58649,5.19257,14.10370
26.160,23.52448,5.55725,11.16486
26.228,23.90137,5.81818,12.93793
26.296,24.05701,5.22614,12.63123
26.361,23.88153,4.91028,13.51166
26.430,23.35663,5.22003,13.22632
26.497,23.17352,5.25055,11.75079
26.563,23.51990,4.92554,12.92419
26.631,24.06006,4.89197,14.39667
26.698,24.94049,5.20020,13.51166
26.765,24.39880,4.91333,13.21411
26.832,23.15521,4.65546,11.74011
26.900,23.89374,5.84259,11.75690
26.967,23.72742,6.14624,11.47003
27.034,23.70148,4.93011,12.62817
27.101,23.89374,6.16455,10.58197
27.168,23.16895,4.94080,12.33673
27.235,24.05701,4.90417,13.80768
27.302,24.60022,5.79987,13.52386
27.369,23.89832,5.50842,13.52386
27.437,23.18115,5.22614,12.93182
27.504,24.58344,5.20325,13.51471
27.572,24.62921,6.68335,14.13116
27.638,23.90594,5.80597,13.52997
27.705,24.40796,5.21088,13.21869
27.773,23.71368,5.21698,13.22479
27.839,24.04785,5.25055,11.45020
27.906,24.06006,5.53589,12.04681
27.974,24.22791,4.90723,13.51013
28.040,23.88153,4.91028,13.51166
28.108,24.24927,5.81512,12.93640
28.175,24.05701,5.22614,12.63123
28.243,24.59564,5.81207,12.93488
28.310,23.72131,5.51453,13.22937
28.377,23.90137,6.14014,11.76300
28.444,23.52448,5.55725,11.16486
28.511,24.41254,5.84412,11.45935
28.578,23.87238,5.25665,11.15570
28.645,23.72742,6.14624,11.47003
28.713,24.08600,6.10809,13.23853
28.780,24.44153,6.40411,13.24158
28.846,24.06006,5.21393,13.22174
28.914,23.85559,4.66156,11.14502
28.980,23.90137,6.14014,11.76300
29.047,24.07227,6.14471,11.46698
29.115,23.18573,5.53741,12.34589
29.182,23.88916,5.20935,13.51776
29.249,24.41559,5.50995,13.22479
29.317,23.88153,5.55573,11.16180
29.384,24.75891,5.51910,12.63275
29.451,24.60327,5.78766,14.11591
29.518,23.87238,4.29077,14.68201
29.585,23.91510,6.42548,12.35962
29.653,24.23553,5.20630,13.51624
29.719,24.59106,5.50232,13.51929
29.787,23.51532,4.93774,12.33368
29.853,24.06921,5.83344,12.05292
29.921,23.52753,5.54657,11.75385
29.987,24.40796,5.53436,12.04376
30.055,25.29907,5.48553,14.10522
30.122,23.49854,4.98657,9.97162
30.190,24.08142,6.12030,12.64801
30.256,24.40796,5.85632,10.86884
30.324,24.25690,6.11267,12.94098
30.390,25.11597,5.51605,12.62970
30.457,23.73505,6.12335,12.64954
30.525,23.89374,5.19714,14.10828
30.597,24.06464,5.20172,13.81226
30.659,23.34900,5.24445,12.04529
30.727,24.06464,5.84564,11.46088
30.794,24.05243,5.23834,12.04071
30.861,23.90137,5.81818,12.93793
30.928,24.40796,5.21088,13.21869
30.995,24.39423,4.92554,12.62360
31.062,24.23553,5.20630,13.51624
31.130,24.22333,5.24292,11.74469
31.197,24.43237,6.75049,10.88562
31.263,24.59106,5.50232,13.51929
31.332,24.04785,5.25055,11.45020
31.398,24.06921,5.51147,13.22784
31.468,24.08142,5.79834,13.82294
31.532,25.29907,5.80750,12.93030
31.599,24.08142,5.79834,13.82294
31.666,24.60327,6.11115,12.93945
31.734,23.70911,5.22919,12.63275
31.801,24.21875,4.93164,12.32910
31.868,24.10736,6.69250,13.83972
31.934,24.58344,5.20325,13.51471
32.002,23.88153,4.91028,13.51166
32.069,23.90594,5.80597,13.52997
32.136,24.74976,5.54352,11.45172
32.204,24.08142,5.79834,13.82294
32.270,24.21875,4.93164,12.32910
32.337,24.05243,4.91638,13.21564
32.405,24.05701,4.90417,13.80768
32.472,23.15521,4.97742,10.56366
32.538,24.23553,5.85022,11.16486
32.606,23.34442,4.93317,12.62970
32.673,23.34900,5.24445,12.04529
32.740,23.53210,5.53436,12.34436
32.807,23.89374,5.19714,14.10828
32.875,24.23553,5.20630,13.51624
32.942,23.88916,5.53131,12.34283
33.009,23.70911,5.22919,12.63275
33.077,23.34900,5.24445,12.04529
33.143,24.06921,5.83344,12.05292
33.210,24.43695,6.41632,12.65106
33.278,23.68927,4.96674,10.85663
33.344,24.23553,5.20630,13.51624
33.412,24.42932,5.79529,13.82141
33.479,23.71826,5.84869,11.46393
33.547,24.24927,5.81512,12.93640
33.614,23.72131,5.83649,12.05444
33.681,24.40338,5.54657,11.45477
33.747,23.68469,4.65546,11.44257
